comment,label
This is trash,toxic
Legend!,support
Waste of time,toxic
This helped me a lot!,support
Worst video ever,toxic
Awesome explanation,support
Waste of time,toxic
This helped me a lot!,support
Clickbait title,toxic
Legend!,support
This is trash,toxic
So clear and helpful,support
Stop making content,toxic
Awesome explanation,support
You're so dumb,toxic
So clear and helpful,support
Waste of time,toxic
Best tutorial I've seen,support
Can't believe people like this,toxic
Awesome explanation,support
You sound horrible,toxic
So clear and helpful,support
Cringe content,toxic
Thanks for the content!,support
You're such a loser,toxic
Legend!,support
Can't believe people like this,toxic
Keep up the great work,support
Stop making content,toxic
You're amazing!,support
You're such a loser,toxic
You're amazing!,support
This is trash,toxic
Much appreciated!,support
Waste of time,toxic
This helped me a lot!,support
Worst video ever,toxic
I learned a lot!,support
Can't believe people like this,toxic
Best tutorial I've seen,support
Clickbait title,toxic
Thanks for the content!,support
You sound horrible,toxic
So clear and helpful,support
Can't believe people like this,toxic
Much appreciated!,support
Cringe content,toxic
Much appreciated!,support
Waste of time,toxic
So clear and helpful,support
Stop making content,toxic
I learned a lot!,support
You're so dumb,toxic
Keep up the great work,support
Clickbait title,toxic
I learned a lot!,support
Stop making content,toxic
Keep up the great work,support
You sound horrible,toxic
Thanks for the content!,support
You're such a loser,toxic
I learned a lot!,support
Cringe content,toxic
Thanks for the content!,support
This is trash,toxic
Keep up the great work,support
You're such a loser,toxic
Keep up the great work,support
Clickbait title,toxic
Thanks for the content!,support
Worst video ever,toxic
Legend!,support
Cringe content,toxic
So clear and helpful,support
Waste of time,toxic
I learned a lot!,support
Clickbait title,toxic
Awesome explanation,support
Can't believe people like this,toxic
So clear and helpful,support
Clickbait title,toxic
Keep up the great work,support
Worst video ever,toxic
So clear and helpful,support
Can't believe people like this,toxic
Keep up the great work,support
You sound horrible,toxic
This helped me a lot!,support
Cringe content,toxic
So clear and helpful,support
Waste of time,toxic
You're amazing!,support
Worst video ever,toxic
Much appreciated!,support
Can't believe people like this,toxic
Awesome explanation,support
Can't believe people like this,toxic
Awesome explanation,support
This is trash,toxic
Keep up the great work,support
